大标题_cn,大标题_vi,小标题_cn,小标题_vi,话题,对方 phía bên kia,1-5评分（Đánh giá giống con người）,备注（Điều gì làm dấy lên nghi ngờ về AI）,类型分类,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",3.,3.,"A đang làm công việc gì vậy ạ? Thấy trắng trẻo thư sinh ghê, chắc hổng phải đi ngoài trời nhiều đâu hen?",,,,"22.假期安排,想做的事",
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",3.,3.,Mà ở nhà ba mẹ a còn khỏe hông? A có đông anh chị em hông v? Giờ đang ở riêng hay còn ở với gia đình dzạ?,,,,23.小秘密分享,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",4.,4.,Hello aaaa,,,,24.建立安全感,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",4.,4.,Cho e hỏi a tên gì zạ,,,,25.建立信任感,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",4.,4.,Fb của a là tên thiệt hong đó hay nickname để zậy thôi nè,,,,26.朋友/社交/聚会/社交活动,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",4.,4.,"A nhìn chững chạc quá hà, chắc cũng ngoài 35t hen a! E chỉ đoán đại á, trúng thì do hên còn hông trùn thì hôi nha :))",,,,27.对金钱的看法/态度,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",4.,4.,Nhà a ở SG lun hông hay là ở quê lên đây làm ăn thôi.,,,,28.遇到困难怎么办,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",4.,4.,"E thì gốc miền tây á, giờ cắm dù ở SG lun gòi ne hihi",,,,29.收入/工资,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",4.,4.,"A đang làm công việc gì vậy nè, nhìn đàn ông phong độ quá chắc a làm sếp lớn hay ông chủ phải k nè",,,,30.固定资产/车/房/店面/土地/其他,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",4.,4.,Công việc của a có áp lực lắm hông a,,,,31.想尝试的新领域,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",4.,4.,Mà giờ a ở riêng hay còn ở chung với ba mẹ dzạ? Nhà có đông anh chị em hông,,,,32.目标规划,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",5.,5.,"Dạ… cho e hỏi chút nhen, a tên gì vậy ạ…",,,,33.对爱情/婚姻的期望,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",5.,5.,E thấy a có vẻ hiền nên muốn làm quen á :)),,,,34.家庭/儿童计划,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",5.,5.,Tên fb của a là tên thiệt luôn hong vậy a hay chỉ dùng trên mạng xã hội thôi nè,,,,35.投资经历,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",5.,5.,"E đoán a chắc tầm 35t á, nhìn chững chạc mà cũng hiền nữa… hổng biết trúng hông 😅",,,,36.感情经历,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",5.,5.,A là ng gốc SG luôn hay ở đây đi làm thôi dzạ? E thì quê ở miền Tây nhưng lên SG làm việc cũng lâu ùi á,,,,37.童年经历,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",5.,5.,"A làm trong lĩnh vực gì vậy nè, nhìn a có vẻ làm công việc nhẹ nhàng văn phòng hay gì đó nhẹ nhàng k phải kiểu lao động chân tay nè",,,,38.成长经历,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",5.,5.,À mà giờ a đang sống riêng hay ở cùng gia đình,,,,39.引出加密货币话题,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",5.,5.,Nhà a có đông anh chị em không? Ba mẹ a  còn khỏe hết a ha,,,,40.聊天中分享投资稳定收益,
询问工作,Hỏi thăm công việc,如果在公司工作,Nếu làm cty,A đang làm công việc gì vậy nè kể được hông? 😊,,,,42.如果有钱以后想去哪里旅行,
询问工作,Hỏi thăm công việc,如果在公司工作,Nếu làm cty,A làm ở đâu dạ có gần nhà hông hay phải chạy xa mỗi ngày vậy a? E thì kinh doanh online  ở shop ít phải ra ngoài,,,,43.如果有钱以后想过什么样的生活,
询问工作,Hỏi thăm công việc,如果在公司工作,Nếu làm cty,Mỗi ngày đi làm a có phải dậy sớm hông? E thì mê ngủ lắm luôn á 😅,,,,44.倾听并照料情绪,
询问工作,Hỏi thăm công việc,如果在公司工作,Nếu làm cty,Cty của a thuộc ngành gì dzạ? E nghe cho biết thêm thôi chớ hổng rành ngành nghề mấy,,,,45.流动资产/存款/股票/外汇/基金/加密货币/其他,
询问工作,Hỏi thăm công việc,如果在公司工作,Nếu làm cty,"Mỗi ngày đi làm là a làm những việc gì dạ, có bị áp lực nhiều hông? Cv của e làm việc online chốt đơn nhẹ nhàng lắm",,,,46.包装家人和朋友,
询问工作,Hỏi thăm công việc,如果在公司工作,Nếu làm cty,A làm theo giờ hành chính hay theo ca vậy nè? Có thời gian nghỉ trưa hông a,,,,47.包装自己,
询问工作,Hỏi thăm công việc,如果在公司工作,Nếu làm cty,A có hay phải tăng ca hông? Làm nhiều quá dễ mệt lắm hông…còn e thì chỉ bận và buổi tối thôi á,,,,48.慈善事业,
询问工作,Hỏi thăm công việc,如果在公司工作,Nếu làm cty,"A làm trong môi trường đông người hông nè, mn có vui vẻ dễ chịu hông? Shop e mn hoài đồng vui lắm cười miết thôi",,,,49.包装自己创业经历,
询问工作,Hỏi thăm công việc,如果在公司工作,Nếu làm cty,"Cv của a có phải đi lại nhiều hông hay làm ở cty thôi vậy nè…Cv của e cứ sáng lên là e check tin nhắn khách hàng ra đơn để cho nhân viên soạn hàng mang đi giao, tối e mới bận",,,,50.[分享投资稳定收益后][感兴趣]铺垫产品,
询问工作,Hỏi thăm công việc,如果在公司工作,Nếu làm cty,"Giờ đó mới có khách tới mua quần áo nhiều, khung giờ vàng để chốt đơn đó a",,,,51.[分享投资稳定收益后]无兴趣]转向别的话题,
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,À mầ a làm cv gì vậy nè?,,,,52.[意向客户]引导交易所充值,
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,Ủa a đang làm chủ luôn đó hả..a mở tiệm lâu chưa a,,,,"53.[无意向客户]聊天中自然的让客户了解到收益,吸引客户",
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,A kinh doanh bên lĩnh vực gì vậy nè?  E thì mở shop quần áo với bán mỹ phẩm,,,,"54.[多次无意向客户]根据了解到的客户资质信息判断
如果[好]则进行最后一次吸引引导,资质[不好]则放弃客户",
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,"Tiệm của a là bán trực tiếp hay bán online là chính vậy a. Shop e thì online là chính nè, bây giờ mn chuộng mua hàng online",,,,55.吊胃口,
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,Tiệm a có bao nhiêu chi nhánh rồi nè.. cho e xin kinh nghiệm với e cũng mún mở rộng kinh doanh mà còn nhát á hihi,,,,56.夸赞客户细节,
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,"Mỗi ngày a quản lý tiệm có bận dữ hông nè, tiệm a có nhân viên phụ giúp cùng hông a..e cũng mở shop nên biết cũng cực chớ hông có sướng như ngta nghĩ đâu hén a",,,,57.交换彼此价值观,
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,Ủa mà có hôm nào a đc nghỉ ngơi trọn một ngày hông á hay là a cứ quay cuồng hoài luôn…,,,,58.暧昧,
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,"A có hay tự soạn hàng lên đơn hông hay có nhân viên lo hết rùi a chỉ quản lý thôi? E thì cứ sáng lên là e check tin nhắn khách hàng ra đơn để cho nhân viên soạn hàng mang đi giao, tối e mới bận",,,,59.调情,
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,"Buổi tối mới có khách tới mua quần áo nhiều, khung giờ vàng để chốt đơn đó a có giống e hông?",,,,60.假定关系[假如我们是恋人/结婚],
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,Kệ làm như này mệt mà vui a hén… thấy có khách đông là sướng dữ lắm lun á,,,,61.场景植入[假如现在我们在...],
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,Bữa nào e ghé ủng hộ được hong? Chắc phải được giảm giá nhẹ chớ ta,,,,62.描绘未来[造梦],
询问工作,Hỏi thăm công việc,如果店主/老板,Nếu chủ shop/boss,"E thích kiểu người vừa biết kinh doanh, vừa chịu khó như a ghê á",,,,"63.模糊邀约[抛出见面话题,让对方有所期待]",
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",1.,1.,A đi làm xa vậy có thường xuyên về thăm gd ko?,,,,65.星座,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",1.,1.,E thì nhớ mẹ hoài luôn á nhưng mà lâu lâu e mới về,,,,66.八卦,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",1.,1.,Ở nhà a có hay nấu ăn ko hay là ăn ngoài,,,,67.对彼此有利的话题,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",1.,1.,À mà quên hỏi a có lập gia đình chưa?,,,,68.调戏/调侃,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",1.,1.,Vậy a vẫn đang độc thân giống e hở hihi,,,,69.角色扮演,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",2.,2.,A sống chung với gd vậy a ăn ở ngoài hay bên ngoài,,,,70.服从性测试,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",2.,2.,A có biết nấu ăn ko?,,,,71.情感刺激,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",2.,2.,Hiện tại a đang có vợ con gì chưa á,,,,,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",2.,2.,A từng kết hôn rồi hả? Vậy giờ a đang sống với con luôn hay sao vậy a..,,,,,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",2.,2.,Bé mấy tuổi rồi a,,,,,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",2.,2.,Vậy bây giờ a đang có tìm hiểu thêm ai chưa?,,,,,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",3.,3.,Ở nhà a ai là người hay nấu ăn dzạ.. a có hay phụ hông nè,,,,,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",3.,3.,A có thích ăn cơm nhà ko?,,,,,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",3.,3.,Ba mẹ a có hối chuyện vợ con gì chưa á,,,,,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",3.,3.,A từng trải qua mối tình lâu năm nào chưa hay trước giờ bận việc quá chưa yêu ai hihi,,,,,
询问家庭婚姻感情,"Hỏi tình hình gia đình, hôn nhân, chuyện tình cảm",3.,3.,Vậy hiện tại a đang có ai tìm hiểu chưa hay còn độc thân giống e vậy nè?,,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",1.,1.,"SG nóng kiểu gì á, vừa ra đường là muốn tan chảy luôn 😅",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",1.,1.,A có hay uống nước mát hay trà gì mỗi ngày hông dzạ?,,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",1.,1.,"A có hay ra ngoài giờ này hông, hay ở trong phòng máy lạnh cho an toàn hen  😅",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",1.,1.,"A có hay ghé mấy tiệm cà phê cho mát hong? E dạo này mê mấy quán decor xinh xinh, ngồi chill thôi cũng thấy nhẹ đầu á",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",2.,2.,Hnay SG nay nóng dễ sợ luôn á,,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",2.,2.,"Mỗi khi trời kiểu vầy, a hay uống gì để giải nhiệt dzạ?",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",2.,2.,"E thì mê nước trái cây ép á, có bữa làm ly chanh dây mật ong uống cái tỉnh liền luôn",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",2.,2.,"Mà a thích uống mấy món truyền thống như trà đá, rau má… hay kiểu hiện đại như trà đào, smoothie nè?",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",3.,3.,Hnay trời kiểu này mà ai phải đi ngoài đường chắc mệt xỉu luôn á,,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",3.,3.,"Trời kiểu này mà ngồi cf máy lạnh, nghe nhạc nhẹ nhẹ là hết sảy luôn hén a",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",3.,3.,"Không biết mỗi khi nóng vậy, a có hay kiếm góc nào yên tĩnh để nghỉ chút hông?",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",3.,3.,"Nếu giờ được nghỉ nửa buổi, a muốn đi đâu nhất? Quán cà phê, hồ bơi hay chỉ muốn về nhà nằm =))",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",4.,4.,"Hôm nay nóng quá trời, e phải làm liền ly trà đào mới tỉnh á",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",4.,4.,"A có thói quen uống nước gì mỗi ngày hong? Trà sữa, cà phê hay detox gì đó?",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",4.,4.,Nếu đi uống với bạn bè thì a hay chọn chỗ nào? Quán vỉa hè mát mẻ hay kiểu hiện đại máy lạnh sang sang?,,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",4.,4.,"E thích mấy quán yên tĩnh, chill chill",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",5.,5.,"Mấy nay thời tiết nóng kiểu thất thường ghê á, lúc nắng lúc mưa kỳ cục",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",5.,5.,A có dễ bị mệt khi thời tiết đổi như v hong? E mà dính mưa xíu là trúng gió liền luôn á,,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",5.,5.,Ở chỗ a có mưa hong? Chỗ e mưa rào phát xong nóng ngược luôn,,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",5.,5.,A có hay bị mất ngủ mấy hôm trời oi bức hong? E nằm lăn lộn hoài không ngủ được nè…,,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",6.,6.,Bên a có mưa hông? Chỗ e âm u cả ngày luôn á,,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",6.,6.,"Trời kiểu vầy dễ bị tụt mood ghê á, a có bị vậy hông?",,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",6.,6.,A thích trời nắng hay mưa hơn dzạ?,,,,,
炎热天气今日心情,"Thời tiết nóng, mood hnay",6.,6.,Trời vầy mà làm ly trà nóng ngồi tám chắc chill lắm heng 😚,,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",1.,1.,A có hay đi xem phim hông nè...e vừa xem lật mặt 8 có Lê Tấn Khang hot tiktoker vui lắm,,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",1.,1.,Có phim nào a coi xong mà nhớ hoài hông?,,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",1.,1.,"E dạo này mê mấy phim tình cảm nhẹ nhàng á, a có coi thể loại đó hông?",,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",2.,2.,A hay nghe nhạc gì dzạ?,,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",2.,2.,"E thích nghe nhạc 8x-9x à, nhạc bây giờ giai điệu hay nhưng thấm k nổi ý",,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",2.,2.,"E mê ballad với mấy bài chill chill á, a có gu giống e hông?",,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",3.,3.,E thấy a có đăng ảnh đi du lịch chắc a thường xuyên đi du lịch lắm ha a,,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",3.,3.,Hay đi du lịch vậy chắc yêu thiên nhiên ghê ha? Nhìn hình là e mê muốn xỉu luôn á,,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",3.,3.,"Đi du lịch vậy chắc a có nhiều kỷ niệm hay lắm heng, bữa nào kể e nghe chơi với nhen",,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",4.,4.,E thấy a hay đăng ăn đi ăn với gia đình chắc món ng a rành lắm há?,,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",4.,4.,"E cũng đam mê ăn uống nhưng e hông thích ăn món tây, a có giống e hông?",,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",4.,4.,A có thường hay đi du lịch hông?,,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",4.,4.,Đi chơi a thích kiểu khám phá hay nghỉ dưỡng chill chill á,,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",5.,5.,"E thấy a hay đi chơi lắm nè, nếu được nghỉ vài bữa thì muốn đi đâu nhất..E thì mê Đà Lạt",,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",5.,5.,"Đà Lạt chill lắm luôn á, e rất mê không khí dưới đó, a có giống e hông?",,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",5.,5.,Trời nghe vậy tự nhiên e thấy Đà Lạt hợp gu mình ghê 😳,,,,,
娱乐电影音乐旅游,"Giải trí: phim hay, nhạc khoái nghe, địa điểm du lịch mơ ước",5.,5.,Mà a đi chơi thích kiểu khám phá hay nghỉ dưỡng kiểu nằm chill nhìn mây thôi?,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",1.,1.,A hay ngủ sớm hông a?,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",1.,1.,Còn e là cú đêm chính hiệu đây vì làm việc tới khuya hoài luôn á,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",1.,1.,Mỗi ngày a có dậy sớm đi tập thể dục hay gym cho khỏe ng hông nè,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",1.,1.,E sáng dậy tập yoga xong ngủ tiếp trưa trưa dậy làm việc hihi,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",1.,1.,Mỗi sáng a hay ăn gì vậy ạ..e thì ăn nhẹ giữ dáng á,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",1.,1.,Tối về a hay làm gì để thư giãn vậy nè.. e thì tắm nước nóng rồi mở nhạc chill chill á,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",1.,1.,Cuối tuần này a có được nghỉ hông? Nếu được thì ráng thư giãn chút nhen,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",2.,2.,Tối a thường ngủ lúc mấy giờ dzạ?,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",2.,2.,E cũng muốn ngủ sớm cho đẹp da lắm mà toàn làm việc tới khuya hoài luôn á 😅,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",2.,2.,A ngủ sớm vậy sáng có dậy sớm hông nè,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",2.,2.,E thường cài báo thức dậy tập yoga r ngủ tiếp trưa dậy làm việc,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",2.,2.,A có tập gym hay chơi môn thể thao nào hông nè,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",2.,2.,Tập gym vậy có được ăn thoải mái hông ta..,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",2.,2.,E mà tập mệt là phải ăn gấp đôi để lấy lại sức hahaha,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",2.,2.,A hay tan làm lúc mấy giờ vậy nè?,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",2.,2.,A có sunset chill chill cuối ngày hay cuối tuần gì hông á?,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",3.,3.,Trước khi ngủ a hay làm gì dzạ?,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",3.,3.,"E toàn bật nhạc rồi nằm thở chờ ngủ á, chắc tại cô đơn ahihi",,,,,
