缩写,全写,描述（中文）,描述（Tiếng Việt）
2v1,2 với 1,二对一（感情暗示/套路）,2 versus 1
Sát gái,少女杀手,,Sát gái
chx,chưa,还没,chưa
cug,cũng,也（cũng的变体）,cũng
bt,bình thường,一般；普通,bình thường
Đào mỏ,拜金女,,Đào mỏ
nx,nữa,再；更多,thêm nữa
nyc,người yêu cũ,前任,người yêu cũ
nym,người yêu mới,现任,người yêu mới
ny,người yêu,爱人,người yêu
fa,forever alone,单身狗（英语借词）,forever alone
j đó,gì đó,什么的（模糊指代）,gì đó
