场景,话术,越南文修正
包装自己,"Đừng quên những điều đã hứa với bản thân, đừng quên những nơi mình muốn đến, cho dù khó khăn đến đâu, cho dù xa xôi cỡ nào. Đôi khi chúng ta sống vất vả không phải vì cuộc đời quá khắc nghiệt, mà vì quá dễ bị ảnh hưởng bởi hoàn cảnh và cảm xúc người khác.",
洗投资,"Nhiều người lúc nào cũng muốn ăn không ngồi rồi, ham hố chuyện lợi nhỏ; mình không ưa kiểu người đó và cũng tránh xa.",
洗赚钱,"Thỉnh thoảng mình không hiểu tại sao nhiều người lại chấp nhận cuộc sống nghèo khó, như thể cuộc sống khá hơn lại làm họ không vui? Nói thật, có lẽ họ quá lười biếng, và điều đó cũng không có trách nhiệm với gia đình, với bản thân. Ở tuổi này mà không cố gắng thì sau này bố mẹ già không có lúc an hưởng tuổi già, con cái lại phải lo lắng tiền bạc, vợ cũng không có cuộc sống ổn định.",
洗投资,"Nhiều người đã rất cố gắng, nhưng cố gắng không đồng nghĩa với ngày nào cũng làm đi làm lại một việc; nếu làm lâu mà không có kết quả thì nghĩa là hướng đi sai rồi, phải xem lại phương pháp. Có người phấn đấu cả đời vẫn không mua nổi nhà, nhưng vẫn không chịu thay đổi tư duy, không đi học hỏi, không áp dụng cách làm hiệu quả của người khác.",
推迟/拒绝见面,"Nói thật với anh , em từng gặp nhiều trường hợp gặp nhau không phải để tìm hiểu , mà là 1 ẫn ý khác , nói đến đây chắc anh đủ lớn để hiểu em đang nói gì . cho nên em xin em dời cuộc hẹn của mình thêm 1 thời gian nữa , để chắc chắn rằng bản thân mình đang chọn đúng người , thành ngữ ông bà mình có câu "" không ai tắm 2 lần trên 1 dòng sông """,
推迟/拒绝见面,Gặp nhau thì chắc em sẽ gặp nhau nhưng em muốn là mình cần thời gian quan tâm chia sẽ cho nhau nhiều hơn để hiểu nhau hơn  đến lúc đó mình gặp nhau cũng chưa muộn,
推迟/拒绝见面,"hiện tại em cảm thấy tình cảm mình chưa đủ lớn , chúng ta có thể tìm hiểu nhau thêm 1 thời gian nữa để xác định chắc chắn mối quan hệ rồi hãy gặp nhau , vì anh cũng biết ở độ tuổi của em và anh cần 1  cái gì đó chắc chắn , 1 cái gọi là hạnh phúc chứ không phải đơn thuần như tuổi trẻ mà tự do bay nhảy nữa .",
推迟/拒绝见面,"Chuyện này em nghĩ mình cứ từ từ đã anh, em với anh cũng mới biết nhau thôi, cũng chưa đến mức gọi là đã hiểu được nhau nhiều
Nên hiện tại giờ em muốn trc hết cả 2 cứ nc tìm hiểu thêm về nhau, chia sẻ thêm về nhau nhiều hơn để có thể hiểu nhau hơn trong nhiều khía cạnh. Ở độ tuổi em với anh thì mình đều chung 1 hướng tìm hiểu kĩ ai đó để tiến đến hôn nhân, chứ ko phải là tình yêu qua ngày qua tháng hay để có người nc cho vui thôi đâu 
Em hi vọng anh cũng sẽ tôn trọng ý kiến của em như cách em tôn trọng anh vậy",
推迟/拒绝见面," Mỗi người mình đều có tiêu chuẩn chọn bạn đời riêng. Mình chỉ gặp những ai mình thấy phù hợp thôi, chứ không có thời gian, sức để hẹn với tất cả mọi người. Nên ban đầu mình cứ nhắn tin, rồi video call, rồi gặp trực tiếp uống cà phê, xem phim… Mình nghĩ đấy là cách tốt nhất để từ xa lạ đến thân, rồi mới tiến tới yêu và cưới.",
推迟/拒绝见面," Nếu mình chưa cảm nhận được sự chân thành của ai đó, mình sẽ không gửi ảnh cá nhân lung tung, càng không video call. Không biết họ dùng hình mình làm gì, giờ có nhiều người tọc mạch lắm.",
推迟/拒绝见面,"Đó là nguyên tắc và cách của mình, mong bạn hiểu và tôn trọng. Nếu bạn không đủ kiên nhẫn thì có thể dừng nói chuyện với mình, mình cũng tôn trọng quyết định đó.",
推迟/拒绝见面,"Mình thấy nhắn tin có hồn hơn, nó ghi lại cả hành trình từ lúc quen nhau, những kỷ niệm và niềm vui mình chia sẻ.",
推迟/拒绝见面,"Mình sẽ không trao thân với bất cứ người đàn ông nào ngoài bạn trai hoặc chồng tương lai. Dù họ giỏi giang thế nào, mình chỉ để dành điều tốt nhất cho chồng mình thôi.",
推迟/拒绝见面,"Có những anh cư xử như con thú, chỉ muốn… “giao phối” thôi. Mình không chấp nhận kiểu đó. Theo mình, chuyện ấy phải xuất phát từ tình yêu thì mới có đam mê.",
推迟/拒绝见面,"Nếu ngay cả kiên nhẫn chút đỉnh cũng không có, mình nghĩ bạn cũng không đủ kiên nhẫn để bên mình suốt đời, vậy thì bạn không phải người mình cần tìm.",
推迟/拒绝见面,"Mình là con gái, nên mình hiểu con gái hơn. Những cô gái dễ “có được” thường không đáng tin, vì bạn dễ dàng có được họ thì người khác cũng vậy, đâu có trung thành.",
推迟/拒绝见面,"Buồn là nhiều anh chàng không hiểu điều này, không chịu đầu tư thời gian, công sức để “cưa” một cô gái tốt, cứ vội vàng thì cuối cùng toàn rước về… những cô gái không ra gì.",
推迟/拒绝见面,"Trước khi gặp mặt, mình cần hiểu rõ mấy vấn đề này. Nếu không thì mình không gặp đâu, vì không muốn lãng phí thời gian, mình cũng không có quá nhiều để gặp từng người.",
未婚人设,"Bố mẹ và bà con bạn bè mình mấy năm nay cũng mai mối cho nhiều anh còn độc thân. Điều kiện ai cũng tốt, nhưng mình không thích, mình muốn tự tìm người mình thực sự cảm thấy hợp.",
未婚人设,"Mình là người rất có khát vọng sự nghiệp, tự do về thời gian và tài chính từ nhỏ đã là mơ ước của mình, vì mình không muốn cả đời “bình bình” như đa số.",
未婚人设,"Nên mình luôn nỗ lực hướng tới ước mơ ấy. Dù đã từng thất bại, may mắn là giờ mình đã có mọi thứ mình muốn.",
未婚人设,Mình nghĩ tình yêu và hôn nhân không bền bằng sự nghiệp và cũng không quan trọng bằng. Và đó là lý do mình chọn sự nghiệp trước hôn nhân.,
未婚人设,"Giờ sự nghiệp mình đã ổn định và thành công, nên mình phải nghĩ tới hôn nhân rồi, vì mình cũng đã đến tuổi cưới.",
未婚人设,"Mình chưa từng kết hôn hay có con, nhưng đã trải qua vài mối tình thất bại, chủ yếu vì đối phương ngoại tình và thiếu khát vọng! Mình thích đàn ông tham vọng như mình.",
未婚人设,"Kinh nghiệm thất bại cho mình thấy phải tìm người có cùng thế giới quan, giá trị và mục tiêu chung. Nếu không chung tư tưởng và tầm nhìn, hôn nhân sẽ không lâu bền.
",
未婚人设,"Về chuyện hôn nhân, mình rất cẩn trọng. Vì khó gặp được người phù hợp, mình không muốn vì lựa chọn sai mà phải ly hôn! Đó là lý do mình thà độc thân còn hơn yêu đương vội vã.",
包装自己,"Đương nhiên cũng có những cô gái không tốt. Mình biết có nhiều phụ nữ chỉ muốn “ăn sẵn”. Họ lợi dụng ham muốn của đàn ông để đạt mục đích, thường cùng lúc “chơi” với nhiều anh.",
未婚人设,"Mình không bao giờ “trao thân” với bất cứ đàn ông nào ngoài bạn trai hoặc chồng tương lai. Dù họ xuất sắc thế nào, mình để dành điều tốt nhất cho chồng mình, cả cơ thể lẫn trái tim.",
包装自己,"Mình nghĩ cả đàn ông hay phụ nữ, nếu chỉ dựa vào ngoại hình và tiền bạc để thu hút thì không bền. Mình muốn dùng tài năng và cá tính của mình để hấp dẫn, chứ không phải nhan sắc hay ví tiền.",
包装自己,"Trong đời thực, có nhiều đại gia theo đuổi mình, mình biết nhiều người giàu, nhưng đều từ chối. Nếu mình chỉ tìm kiếm tiền, mình đã không phải lên mạng như thế này.",
洗投资,"Mình theo đuổi sự giàu có về tinh thần chứ không phải tiền bạc, vì tình yêu không liên quan đến tiền. Nhưng anh phải có tư duy đầu tư và hoài bão, dù anh chưa có sự nghiệp mình vẫn có thể dẫn dắt anh kiếm tiền cùng mình.",
洗投资,"Điều khiến mình quan tâm chưa bao giờ là ngoại hình hay tài sản của một người đàn ông, mà là kế hoạch nghề nghiệp và tầm nhìn tương lai của anh ấy.",
包装自己,"Mình thích đàn ông hiền lành, chính trực, có ước mơ và khát vọng, chung thủy. Mình mong có nhiều sở thích, môi trường, suy nghĩ và “tâm hồn” giống nhau, để cuộc sống sau này vui vẻ, nói hoài không hết chuyện, có nhiều đề tài để bàn luận. Mình biết kiểu đàn ông như vậy không dễ tìm.",
包装自己慈善,"Tương lai mình chỉ muốn tìm một người cùng mình đi hết quãng đời còn lại: vi vu khắp thế giới, sau kết hôn làm từ thiện vì mình nghĩ phải biết biết ơn cuộc đời, làm những việc mình muốn, nuôi dạy con cái, cho con khởi đầu tốt đẹp, rồi chăm sóc cha mẹ già cho đến lúc họ an nghỉ, và giúp đỡ những người cần giúp.",
包装自己慈善,"Nhiều năm nay mình luôn theo đuổi điều đó, bố mẹ mình từ nhỏ đã dạy phải biết ơn, có khả năng thì nên trả ơn xã hội.",
点客户,"Dạo này mình đang làm một dự án về xu hướng tăng giá của tiền điện tử trên nền tảng blockchain, lợi nhuận khá khả quan, nếu có dịp mình sẽ chỉ cho bạn.",
点客户,"Gần đây bạn bè mình cũng chơi chứng khoán, rủi ro quá cao, nên mình chọn làm blockchain vì rủi ro có thể kiểm soát được. Vì mình coi bạn là người bạn thân nhất nên mới chia sẻ với bạn mọi thứ, giống như bạn hôm nay cũng chia sẻ mọi điều với mình.",
点客户,"Hãy học hỏi điểm mạnh của nhau: mình học lĩnh vực bạn giỏi, bạn cũng học lĩnh vực mình có kinh nghiệm, để chúng ta có thêm nhiều chủ đề chung.",
洗投资,"Dĩ nhiên anh sẽ không dẫn em đi làm mấy thứ không có đảm bảo, anh chỉ dẫn em làm những thứ chắc chắn và ổn định nhất thôi. ",
加金投资,"Chúng ta cần bổ sung thêm vốn một chút, như vậy không chỉ ổn định thị trường mà còn tăng phần trăm lợi nhuận của chúng ta. ",
切客户,"Thật ra mình nghĩ năng lực chỉ biết khi tự mình thử, không thì có khi lỡ mất cơ hội kiếm tiền đấy. ",
洗投资,"Khi nhìn nhận vấn đề thì cần có tầm nhìn xa, phải biết trong từng giai đoạn nên đầu tư dự án nào để có lời, như vậy mới không thua lỗ trong kinh doanh! 
",
洗投资,"Triết lý của mình là tận dụng tối đa khả năng để đầu tư số vốn lớn nhằm thu về lợi ích tối ưu từ nền tảng, rồi tái đầu tư vốn gốc lên nền tảng và rút phần lợi nhuận, nhằm tối đa hóa lợi tức. Mục đích và hiệu quả tốt nhất. ",
切客户,Bạn nghĩ gì về tiền điện tử?,
切客户,Bạn có biết Binance không?,
切客户,Tôi nghĩ sự phát triển chủ đạo của nền kinh tế ảo trong tương lai là tiền điện tử,
